n° observation,phase,AX Vel from a,AX Vel from b,AX Vel from c,AX Vel from d,HD 68395 from b,HD 68395 from c,HD 68395 from d
1,0.00024682881849003024,8.27673812690613,8.325740672981834,8.231569502450357,8.318118858639142,8.149002546075705,8.054831375544229,8.141380731733014
1,0.00024682881849003024,8.302046480839847,8.308210160781096,8.223542053306623,8.283837946990266,8.106163679941249,8.021495572466776,8.081791466150419
1,0.00024682881849003024,8.306225643047203,8.293732840266921,8.215016783337079,8.289646841528818,8.087507197219718,8.008791140289878,8.083421198481615
1,0.00024682881849003024,8.19467985507185,8.253517645958768,8.210146443328608,8.283902058292497,8.158837790886917,8.115466588256757,8.189222203220647
1,0.00024682881849003024,8.303293891089039,8.334824830791966,8.238111163443058,8.329748066712929,8.131530939702927,8.034817272354019,8.12645417562389
1,0.00024682881849003024,8.304610329775974,8.322619167354564,8.226496632740682,8.309263648948033,8.11800883757859,8.021886302964708,8.104653319172058
1,0.00024682881849003024,8.285915835602557,8.31579266531975,8.2080750045073,8.289772771286678,8.129876829717192,8.022159168904743,8.103856935684119
1,0.0006324985970422858,8.304976301324439,8.319892547350808,8.212617349144951,8.28720624636996,8.114916246026366,8.00764104782051,8.082229945045519
1,0.0006324985970422858,8.188882029593799,8.291421030439713,8.178895999771951,8.278606785793693,8.202539000845912,8.090013970178152,8.189724756199894
1,0.0006324985970422858,8.278013573945808,8.306616894908327,8.21641567716541,8.2927700187266,8.128603320962519,8.038402103219601,8.114756444780792
2,0.36924151461244037,7.459060047731784,8.335006025349422,8.678550577499617,7.062516308846739,8.975945977617636,9.319490529767833,7.703456261114955
2,0.36924151461244037,7.577602767132646,8.366508699502168,8.798032686384044,7.8221970444587186,8.888905932369521,9.320429919251398,8.344594277326072
2,0.36924151461244037,7.486205811093458,8.307004718049335,8.730536878688063,7.558061195023848,8.920798906955877,9.344331067594606,8.171855383930389
2,0.3696271845710726,7.530358823150642,8.270664200670844,8.685493482567445,7.590301580847472,8.8403053775202,9.255134659416802,8.159942757696829
2,0.3696271845710726,7.589326231614454,8.387761286455376,8.780454628193741,7.765183300015361,8.898435054840922,9.291128396579287,8.275857068400907
2,0.3696271845710726,7.423784920849515,8.383010439314095,8.768499373638019,7.775699646101279,9.05922551846458,9.444714452788503,8.451914725251763
2,0.3696271845710726,7.704663696441104,8.397002401103034,8.648299661479228,7.746246571900451,8.79233870466193,9.043635965038124,8.141582875459346
2,0.3696271845710726,7.253406893056409,8.26021945615736,8.59065947929814,7.197070689201714,9.10681256310095,9.43725258624173,8.043663796145305
2,0.3696271845710726,7.636980516068968,8.145792538128479,8.679931282512417,7.1005084442850706,8.60881202205951,9.142950766443448,7.563527928216102
2,0.3700128545297048,7.611744672973192,8.209915330097312,8.713904453209098,7.750773938578039,8.69817065712412,9.202159780235906,8.239029265604847
3,0.5004113170434721,8.0506946991281,8.112016925846563,8.027956351391284,8.100590829398808,8.161322226718463,8.077261652263184,8.149896130270706
