HJD (-2430000),V [mag]
4519.268,8.34
4522.197,8.41
4529.229,8.37
4833.323,8.39
4834.278,8.20
4835.384,8.22
4839.238,7.94
4847.237,7.99
4861.322,8.30
4867.284,8.40
4869.291,8.34
4885.263,8.50
4889.270,8.32
4907.224,8.31
4914.226,8.29
4917.204,8.11
5161.370,8.13
5169.343,8.10
5176.346,8.07
5177.330,8.10
5194.424,8.27
5201.298,8.43
5208.317,8.20
5209.341,8.37
5246.245,8.10
5256.257,8.37
5256.260,8.46
5257.239,8.04
5270.224,8.11
