HJD (-2443000),V [mag]
906.9849,8.1750
906.9894,8.1610
907.0506,8.1530
907.0584,8.1500
907.0629,8.1500
907.0680,8.1490
907.0738,8.1510
907.0791,8.1520
907.0841,8.1540
907.0945,8.1570
907.0996,8.1580
907.1044,8.1530
907.1109,8.1490
907.1229,8.1550
907.1283,8.1520
907.1342,8.1460
907.1391,8.1430
907.1456,8.1380
907.1507,8.1440
907.1564,8.1390
907.1641,8.1360
907.1693,8.1370
907.1742,8.1410
907.1795,8.1490
907.1846,8.1500
907.1903,8.1560
907.1966,8.1580
907.2015,8.1410
907.2065,8.1500
907.2117,8.1390
907.2169,8.1380
907.2233,8.1330
907.2287,8.1340
907.2353,8.1500
912.0766,7.9420
912.0812,7.9440
912.0868,7.9420
912.1536,7.9570
912.1605,7.9620
912.1689,7.9770
912.1745,7.9680
912.2004,7.9800
912.2063,7.9790
912.2127,7.9890
912.2171,7.9860
912.2216,7.9820
912.2260,7.9890
912.2306,7.9880
912.2369,7.9940
914.1593,8.3110
914.1677,8.3130
914.1760,8.3050
916.0949,8.2750
916.0983,8.2750
916.1039,8.2730
916.9393,8.1710
916.9442,8.1730
916.9490,8.1910
917.0463,8.1600
917.0511,8.1630
917.9372,8.2690
917.9456,8.2710
917.9511,8.2690
917.9560,8.2720
920.9421,8.3830
920.9463,8.3890
920.9504,8.3890
920.9553,8.3880
921.0997,8.4210
921.1060,8.4220
921.1108,8.4280
921.1164,8.4320
