date [HJD],V [mag],V-B [mag],source,note
2443882.1269,8.287,,Barrell,Johnson V
2443882.1317,8.289,,Barrell,Johnson V
2443906.9934,8.161,,Barrell,Johnson V
2443907.0,8.163,,Barrell,Johnson V
2443907.0044,8.154,,Barrell,Johnson V
2443907.0091,8.15,,Barrell,Johnson V
2443907.0137,8.149,,Barrell,Johnson V
2443907.0182,8.15,,Barrell,Johnson V
2443907.0279,8.15,,Barrell,Johnson V
2443907.0335,8.161,,Barrell,Johnson V
2443907.0381,8.154,,Barrell,Johnson V
2443907.0426,8.152,,Barrell,Johnson V
2443905.2198,8.233,,Barrell,Johnson V
2443905.225,8.251,,Barrell,Johnson V
2443905.2295,8.224,,Barrell,Johnson V
2443905.2341,8.227,,Barrell,Johnson V
2443905.2387,8.244,,Barrell,Johnson V
2443905.2435,8.246,,Barrell,Johnson V
2443905.9574,8.357,,Barrell,Johnson V
2443905.9627,8.365,,Barrell,Johnson V
2443905.9783,8.372,,Barrell,Johnson V
2443905.983,8.369,,Barrell,Johnson V
2443905.9889,8.367,,Barrell,Johnson V
2443905.9957,8.353,,Barrell,Johnson V
2443906.0025,8.365,,Barrell,Johnson V
2443906.0068,8.376,,Barrell,Johnson V
2443906.0137,8.364,,Barrell,Johnson V
2443906.0181,8.367,,Barrell,Johnson V
2443906.0225,8.365,,Barrell,Johnson V
2443906.0266,8.364,,Barrell,Johnson V
2443906.0358,8.36,,Barrell,Johnson V
2443906.0399,8.356,,Barrell,Johnson V
2443912.0922,7.945,,Barrell,Johnson V
2443912.1019,7.943,,Barrell,Johnson V
2443912.1066,7.945,,Barrell,Johnson V
2443912.1116,7.952,,Barrell,Johnson V
2443912.1165,7.953,,Barrell,Johnson V
2443912.1216,7.952,,Barrell,Johnson V
2443912.1334,7.955,,Barrell,Johnson V
2443912.1385,7.964,,Barrell,Johnson V
2443912.1435,7.964,,Barrell,Johnson V
2443912.1484,7.969,,Barrell,Johnson V
2443878.1601,8.067,,Barrell,Johnson V
2443878.1666,8.064,,Barrell,Johnson V
2443878.1729,8.063,,Barrell,Johnson V
2443878.1795,8.065,,Barrell,Johnson V
2443878.1845,8.055,,Barrell,Johnson V
2443878.1899,8.055,,Barrell,Johnson V
2443878.1955,8.052,,Barrell,Johnson V
2443878.2013,8.048,,Barrell,Johnson V
2443878.2066,8.044,,Barrell,Johnson V
2443878.2121,8.032,,Barrell,Johnson V
2443880.1723,8.325,,Barrell,Johnson V
2443880.1778,8.33,,Barrell,Johnson V
2443880.1843,8.325,,Barrell,Johnson V
2443880.1908,8.313,,Barrell,Johnson V
2443880.1955,8.316,,Barrell,Johnson V
2443880.2007,8.319,,Barrell,Johnson V
2443880.2053,8.328,,Barrell,Johnson V
2443880.2105,8.326,,Barrell,Johnson V
2443880.216,8.324,,Barrell,Johnson V
2443880.2208,8.323,,Barrell,Johnson V
2443880.2255,8.307,,Barrell,Johnson V
2443880.9653,8.201,,Barrell,Johnson V
2443880.9707,8.184,,Barrell,Johnson V
2443880.9773,8.187,,Barrell,Johnson V
2443880.9834,8.187,,Barrell,Johnson V
2443880.9898,8.2,,Barrell,Johnson V
2443880.9946,8.199,,Barrell,Johnson V
