date [epoch],AXVEL phase,AXVEL V [mag],AXVEL SD [mag],HD68395 V [mag],HD68395 SD [mag],AXVEL mean [ADU],AXVEL SD [ADU],Air mass
2459331.88412173,0.000293776334365248,8.27353775939588,0.0446265418234853,8.09866607023495,0.0541278776911303,111824.3,4215.15034132829,1.0813
2459350.99179978,0.369549965621263,8.01947351744171,0.539969314892202,8.75621343924064,0.529164087794665,3427.6,209.259010160455,1.948
2459353.92450726,0.500606951861118,8.01314087227336,0.0545431658038596,8.08931074133356,0.0412809295117443,136445.1,2177.89193691719,1.413
2459354.90096664,0.877197938508743,8.28092802245001,0.0364244355759793,8.12811812338493,0.0530485490517538,105014.5,4888.16405434824,1.302
2459355.8722206,0.251781351376667,8.31993991683275,0.0278814696673876,8.09912996037419,0.030737715052339,105792.5,2161.09127782959,1.204
2459356.86696139,0.63542292749471,8.17268049867609,0.0332535661709147,8.08216689613044,0.0327075565601196,121763.4,987.734112895661,1.196
2459363.9633567,0.372288962398397,8.19598066455033,0.031654440036398,8.08371453011649,0.0368280953374497,104853.5,1736.8741046937,2.077
2459365.92224097,0.127771653313994,8.2446530270852,0.0423221428443867,8.07343132068003,0.0411451171034513,82500.1,5565.56193529059,1.646
